ROOT	CASE	2	-1.687978285395257	0.6465244105670945
CONNECTOR	CONNECTOR	35	4.656025545609896	3.3846827744620525
DERIVATION	CONNECTOR	951	2.446502653025065	1.6758470905293588
PRAGMATICMOOD	CONNECTOR	153	3.3196753610118352	1.5268685345459052
ROOT	CONNECTOR	3199	1.7231858115738286	2.3412839527828586
SYNTACTICMOOD	CONNECTOR	50	1.7952341935832905	2.7866727157830806
TENSE/ASPECT	CONNECTOR	148	2.394161551702008	2.1296631416916885
ROOT	DERIVATION	3181	3.5501809536600066	2.3026326954274676
DERIVATION	FORMALITY	43	2.927455478989075	1.699419266664824
ROOT	FORMALITY	125	0.9169621871931243	1.7429026855611733
TENSE/ASPECT	FORMALITY	42	3.0563075390521472	0.9661529477680222
CONNECTOR	NOMINALIZER	62	2.952751045053889	2.69855276587931
DERIVATION	NOMINALIZER	1171	2.9621719572579917	0.5339425805940243
NOMINALIZER	NOMINALIZER	21	2.6556460814502376	1.3959495623545835
PRAGMATICMOOD	NOMINALIZER	7	0.9436350638445299	1.9114020093797117
ROOT	NOMINALIZER	3033	1.6363622638786188	1.6299539330238857
SYNTACTICMOOD	NOMINALIZER	6	1.413809985829892	2.2087078603006587
TENSE/ASPECT	NOMINALIZER	27	2.0890385119666757	1.2382588777801211
DERIVATION	POLITE	9	2.3700285822902227	1.711401368879608
ROOT	POLITE	25	-0.12436215495226037	1.5126964549295037
TENSE/ASPECT	POLITE	8	4.104659153460187	1.3358776572689504
CASE	PRAGMATICMOOD	2	0.0	0.0
DERIVATION	PRAGMATICMOOD	1004	1.9529990457062036	1.806253819559824
FORMALITY	PRAGMATICMOOD	126	0.054667641765086004	0.6150365275120272
POLITE	PRAGMATICMOOD	23	7.4111897484709806	1.9399815847808692
PRAGMATICMOOD	PRAGMATICMOOD	2	3.598249040835718	0.354315584601027
ROOT	PRAGMATICMOOD	2320	0.7457707541254301	1.5180719498596946
SYNTACTICMOOD	PRAGMATICMOOD	545	4.421087050937102	0.48456245343448845
TENSE/ASPECT	PRAGMATICMOOD	733	3.648748132218222	1.2214123151411698
UNKNOWN	PRAGMATICMOOD	3	2.2296709397463865	3.1532308826185034
ROOT	ROOT	11	0.0	0.0
DERIVATION	SYNTACTICMOOD	285	2.3622917487127486	2.124059901757486
FORMALITY	SYNTACTICMOOD	124	6.958069094694712	6.136673772923351e-07
ROOT	SYNTACTICMOOD	858	1.3973901967265006	2.254573577010671
TENSE/ASPECT	SYNTACTICMOOD	150	3.1528000462162917	2.1324965155616624
DERIVATION	TENSE/ASPECT	383	3.0323074530713807	0.5653547114418104
ROOT	TENSE/ASPECT	978	1.8465158394305137	1.7552432362871913
DERIVATION	UNKNOWN	5	-4.69276198407899	0.0759477496425665
ROOT	UNKNOWN	16	-1.3057655295078023	1.1965341416825974
TENSE/ASPECT	UNKNOWN	2	-4.96079579908393	0.0
